"","site.year","MxDAT","MnDAT","MxDMT","MnDMT","MnDNT","NDNT","MxWMT","MxWAT","CDD","WAT5","WAT25","WAT50","WAT75","WAT95","MA7d_DMT","MA7d_DAT","DELTA_MAX","SIGMA_MN","SIGMA_MIN","SIGMA_MAX","CV_MN","CV_MIN","CV_MAX","RNG","SUM_13","SUM_18","SUM_20","SUM7d_13","SUM7d_18","SUM_event13","SUM_event18","SUM_MA7d_13","SUM_MA7d_18","SUM_MA7d_20","DUR_mx13","DUR_mn13","DUR_mx18","DUR_mn18","DUR_mx20","DUR_mn20","MxDMT_jd","MA7d_DMT_jd","WDMT_jd","D_RNG","site","year"
"13","Beaver_2011",13.653125,12.0304620723077,9.40122210197122,7.17326626949766,1.94213814429131,0.89529800502528,7.62427811214269,12.6697619028571,469.18802082,11.722729168,11.91186012,12.18205357,12.4915922614286,12.6341279745714,7.69348459608056,13.1180654742857,7.04644403652191,0.629214822799461,0.196473787536731,0.98524366158562,0.0659351751578304,0.228229716424271,0.13837412025642,8.50592409694594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.23112812520634,"Beaver","2011"
"14","Beaver_2012",14.5678125,12.559098958,8.78152447478717,7.07062317233161,1.97857273335278,1.08364159355875,7.23244813148804,13.4999826383333,502.36395832,11.3439341503571,11.7782477664286,12.9166517864286,13.1709486610714,13.4383612348214,7.54895507815313,13.7906696442857,7.00261874042377,1.17110733690392,0.181998573059128,0.773603887862315,0.0861667809026258,0.215616489886294,0.124394629130491,7.69788288122843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.09205043897883,"Beaver","2012"
"15","Beaver_2013",15.77145833,13.1280662392308,8.36630860884751,6.67108962914063,2.05814680724695,1.08497815384126,7.18383727737224,15.0328422628571,511.99458333,11.6320863085714,12.4093005942857,12.6371428585714,12.7704315471429,14.5803601197143,7.35195615299243,15.4690773814286,6.46473861029557,2.06587240059397,0.242494760755984,0.907072490188204,0.109484083570548,0.239262606865957,0.142765812815841,7.28133045500624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.61294282189368,"Beaver","2013"
"16","Chuitna_2015",19.00733333,15.5226207260513,9.1061893617618,7.11679689630877,2.05237708090279,0.274748788246432,7.60549965426084,18.62725595,605.382208316,13.5619821425714,14.4115059528571,15.8400476185714,16.36327381,18.174459522,7.62183936176719,18.62725595,7.99039535189734,5.76641655231397,0.510509662925051,1.32108237435348,0.154699161438671,0.348132707102915,0.16150291943242,8.83144057351536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.06441981540598,"Chuitna","2015"
"17","Chuitna_2008",15.73,12.69825,9.39057669996185,6.95838328918471,2.04740985789573,1.03223714565833,7.28767491727542,13.2385714285714,507.93,12.61,12.7471428571429,13.0171428571429,13.1728571428571,13.2254285714286,7.55854386854013,13.8957142857143,7.96348185843667,1.34733275641026,0.277640981482644,0.99876199897597,0.0914099688914077,0.257357598587653,0.143622558036118,8.35833955430352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.91097343128899,"Chuitna","2008"
"18","Chuitna_2010",14.2,11.6746153846154,8.39082051104259,6.59531746610983,1.95233211783276,0.814943267025693,6.90060281656349,12.9957142857143,455.31,11.1454285714286,11.1557142857143,11.5085714285714,12.1857142857143,12.8337142857143,7.13068640080197,13.0842857142857,7.5758772440169,0.962657085020243,0.247560261777421,0.731317772955673,0.0840413894477034,0.254851249788669,0.129663386108409,7.5758772440169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.64298534827706,"Chuitna","2010"
"19","Chuitna_2011",16.4509375,12.6813242517949,8.54688133441627,6.97801793899784,2.03169314870414,0.800608796672357,7.35181233788513,14.5276249985714,494.57164582,11.620313692,12.0069553571429,13.0193139871429,13.3287976185714,14.2878595225714,7.69400934255794,15.4677589271429,7.25231254961059,2.90946340148659,0.294155328531051,0.60674544779987,0.134506057095803,0.26695019588995,0.111627495709599,7.74627253774392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4.9463247902937,"Chuitna","2011"
"20","Deception_2008",12.41495833,10.4062289128537,9.18945599237245,7.24389674927201,1.84911104178185,0.712184458644616,7.76681955072211,10.7733055561667,426.655385427,9.50965885407143,10.5014296879286,10.6800081842857,10.70722507525,10.7585881703393,8.30495957938479,11.1448705342857,8.13321344797735,0.770580701396073,0.25895047564264,1.36498115481156,0.0843559438350192,0.275198057816866,0.161283922171895,8.47727153372783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.39478570749016,"Deception","2008"
"21","Deception_2009",15.3424375,12.2178602646341,8.87028368106197,7.03870900351935,1.91119894182993,0.60126918654888,7.27216827458614,12.4386994057143,500.93227085,11.3553327391429,11.8305922614286,12.2547023814286,12.4212619057143,12.4352119057143,7.66028076056182,13.9862142857143,7.89578026553181,1.4247129379621,0.250158088973879,0.827440688457329,0.0976941436279077,0.261698587751814,0.129233595013202,8.26901449451309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.12751006168942,"Deception","2009"
"22","Deception_2010",13.7355625,11.4973175814634,9.1145349462097,7.06852638647675,1.90863710968717,0.67719019713378,7.30667361993009,12.4276517857143,471.39002084,10.791564882,11.0345982157143,11.1641666657143,11.5431845242857,12.2507583334286,7.43326591815737,12.5813244057143,7.58450603208666,0.867087466373842,0.246429245236512,1.2781299279251,0.080990657857672,0.26008946412601,0.159940562303476,8.43734474907592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,5.15988927678958,"Deception","2010"
